learner_id,equilibrium_mean,equilibrium_std,resilience_mean,overload_mean,instability_mean,intervention_need_rate,stability_index,resilience_group
0,0.20932396178064186,0.27343440624321846,0.6934165636711109,0.5002409941364947,0.40394453868312785,0.75,-0.0641104444625766,high_resilience
1,0.048689151662775806,0.10588106139650955,0.5549803143942772,0.4887398799318573,0.397449510031197,1.0,-0.05719190973373374,moderate_resilience
2,0.23305808871632014,0.27497917831928564,0.7887381710064112,0.5347544664888864,0.3783230256298984,0.75,-0.041921089602965506,high_resilience
3,0.09257498201823705,0.18007656812129091,0.7427824237494287,0.5357961007869497,0.4109691573698338,0.875,-0.08750158610305386,high_resilience
4,0.0527001441824967,0.12607613128334752,0.6164219451785606,0.5703379104820674,0.40014372086360217,0.9375,-0.07337598710085082,moderate_resilience
5,0.17720826661944789,0.2131286249630216,0.37910672707959525,0.5509795069241417,0.41306426373195876,0.8125,-0.03592035834357371,low_resilience
6,0.10926348770512503,0.20255999364302946,0.7388530138327409,0.5121172537730728,0.42929126906017034,0.875,-0.09329650593790442,high_resilience
7,0.046781850651568826,0.10004597876996948,0.5079897232706574,0.49663713226756956,0.3946521587891924,1.0,-0.05326412811840066,low_resilience
8,0.07573927156497565,0.14604702816551277,0.6363626957113793,0.5335876423904051,0.45083723428251915,0.9375,-0.07030775660053712,moderate_resilience
9,0.13608402649864912,0.22632101592344472,0.6112774573090347,0.48692579138676756,0.39163744705611386,0.875,-0.0902369894247956,moderate_resilience
10,0.10812232151357418,0.1498158735351587,0.6372108239818634,0.5448141171488887,0.42209663547370585,1.0,-0.041693552021584535,moderate_resilience
11,0.06637098054103799,0.1385519377833925,0.9495791192735243,0.5487192862158417,0.40262654493769406,0.9375,-0.07218095724235452,high_resilience
12,0.09706914000264033,0.1833044790181133,0.658174251327915,0.5156794965680089,0.41425708019037194,0.875,-0.08623533901547298,moderate_resilience
13,0.06716788220649605,0.12071900822967754,0.5781148830293841,0.50920287581573,0.4256479260838457,1.0,-0.05355112602318149,moderate_resilience
14,0.12794794987819824,0.18988310367214373,0.7895669332803402,0.5570469334437897,0.4642181754995467,0.875,-0.061935153793945485,high_resilience
15,0.08131534747753022,0.15365398144066308,0.505390893073238,0.48363308691976337,0.37042379721611274,0.9375,-0.07233863396313286,low_resilience
16,0.10651544135578225,0.15867743469616732,0.5323624638946435,0.5300649771173834,0.42672787040764637,1.0,-0.05216199334038507,low_resilience
17,0.146399724586774,0.2228018830817763,0.7025590018007839,0.5396190576621123,0.42842296819298376,0.8125,-0.07640215849500229,high_resilience
18,0.12106144728354136,0.15327395564117535,0.5406308975185957,0.46636276911898145,0.34579473063414423,1.0,-0.03221250835763399,low_resilience
19,0.08583094266387682,0.15732464923302816,0.8027870751307316,0.5674056408377818,0.4349875636397652,0.9375,-0.07149370656915134,high_resilience
20,0.07420792692941511,0.14749298328177113,0.5026101725176814,0.5189607189753921,0.39828177780549606,0.9375,-0.07328505635235602,low_resilience
21,0.10909548904937363,0.20089145407729475,0.4937929823651137,0.5094704054850433,0.4076606302065972,0.875,-0.09179596502792112,low_resilience
22,0.1492478075675374,0.14426845171759128,0.7249029249683581,0.45243575860166163,0.4015370058805582,1.0,0.004979355849946104,high_resilience
23,0.05135757759958301,0.11914209713724051,0.564149222136533,0.5594386889325806,0.4502310757859807,1.0,-0.0677845195376575,moderate_resilience
24,0.029938357205457115,0.08662400297478336,0.5201668294552727,0.6053688520283996,0.47040121232810134,1.0,-0.05668564576932624,low_resilience
25,0.12232694938485095,0.15967820073688732,0.5756947351910555,0.5357065279527602,0.3688805381012557,0.9375,-0.037351251352036374,moderate_resilience
26,0.03886481472593169,0.09179932129635773,0.5327883808569868,0.56420109587711,0.4264372351306666,1.0,-0.052934506570426046,low_resilience
27,0.3026917381836119,0.1909002589358684,0.8973084951183794,0.4612108365254355,0.3998347766060575,0.6875,0.11179147924774349,high_resilience
28,0.18880681346896994,0.16496674328098612,0.6754402113481646,0.4995847366149439,0.3885994831074295,0.875,0.023840070187983814,moderate_resilience
29,0.08801440296038157,0.17065370313343559,0.5376212128971204,0.5388320700404574,0.4287294808394315,0.9375,-0.08263930017305401,low_resilience
30,0.11746417779095465,0.22411004261013234,0.5551152202065194,0.45223685474143793,0.38765650691168013,0.875,-0.10664586481917769,moderate_resilience
31,0.2326356009041335,0.23637037772106734,0.8621273855206779,0.4322306594655977,0.34259897184438676,0.75,-0.003734776816933849,high_resilience
32,0.20729409269067076,0.27035632617495636,0.6774418005849211,0.4938132609213261,0.42196608371995614,0.75,-0.0630622334842856,moderate_resilience
33,0.05368779247665985,0.10010840293886233,0.6546180067265901,0.5480269994409636,0.41627036997158334,1.0,-0.046420610462202486,moderate_resilience
34,0.10400765548605428,0.18255777625560896,0.6394746087153652,0.551559480916475,0.3734666884595721,0.875,-0.07855012076955467,moderate_resilience
35,0.11160944501766165,0.17671763622330972,0.6118174431896364,0.5554941821645701,0.44621084278039813,0.9375,-0.06510819120564806,moderate_resilience
36,0.10026575183368248,0.15028691781002074,0.9289940733636842,0.5353421011251887,0.4128587703602733,0.9375,-0.05002116597633825,high_resilience
37,0.11548691012303341,0.1418822274520668,0.49363758686696535,0.4969982412458689,0.3703583563072726,1.0,-0.026395317329033385,low_resilience
38,0.048158867097209124,0.12174985569611325,0.4396698186345121,0.5028704053525899,0.39607289192979006,0.9375,-0.07359098859890413,low_resilience
39,0.059576010549323294,0.10117299598032829,0.8798101557556296,0.5726669852737435,0.42584794879693816,1.0,-0.041596985431005,high_resilience
40,0.08836272449954435,0.17032855233468958,0.600596217782956,0.5442673730394867,0.4088297949907442,0.9375,-0.08196582783514522,moderate_resilience
41,0.10190731919852633,0.18822737205200502,0.8111783227778258,0.48866619235173153,0.3949020475823408,0.875,-0.08632005285347868,high_resilience
